Accessory	Accoutrement	An item that a Character can wear.
NetworkPeer	Instance	The `NetworkPeer` object is the most basic class of the network objects.
NetworkReplicator	Instance	An object which handles the replication of other objects either from the server to the client, or from the client to the server.
NetworkServer	NetworkPeer	
NetworkSettings	Instance	Settings related to networked engine behaviors.
NoCollisionConstraint	Instance	An instance used to prevent collisions between two specific parts.
NotificationService	Instance	An internal service which cannot be used by developers.
NumberPose	PoseBase	Holds the value applied to a specific FACS control.
NumberValue	ValueBase	A container object for a single double-precision floating point number.
Object		`Object` is the base class for all classes in the Roblox class hierarchy.
ObjectValue	ValueBase	A container object for a reference to another instance.
OpenCloudApiV1	Instance	
OpenCloudService	Instance	
OrderedDataStore	GlobalDataStore	A GlobalDataStore that also allows for ordered data store entries.
OutfitPages	Pages	The `OutfitPages` class is used in the case of iterating over a user's outfits.
PackageLink	Instance	Links a `Class.DataModel` instance to a corresponding asset in the cloud.
PackageService	Instance	
Pages	Instance	An abstract class for pages objects.
Pants	Clothing	Displays a Pants texture from the Roblox website to display on a `Class.Humanoid` rig.
Part	FormFactorPart	A common type of `Class.BasePart` that comes in different primitive shapes.
PartAdornment	GuiBase3d	An abstract class for GUI elements that are adorned to (displayed as attached to) objects deriving from `Class.BasePart`.
ParticleEmitter	Instance	A special object that emits customizable 2D particles into the world.
PartOperation	TriangleMeshPart	An abstract class that all parts based on solid modeling inherit from.
PartOperationAsset	Instance	An internal service which cannot be used by developers.
PatchBundlerFileWatch	Instance	
PatchMapping	Instance	
Path	Instance	Stores the result of paths created by `Class.PathfindingService:CreatePath()`.
Path2D	GuiBase	
PathfindingLink	Instance	Connects two locations which otherwise by default are unconnected.
PathfindingModifier	Instance	Modifiers used to represent space that has a higher or lower cost to be traversed when creating paths using `Class.PathfindingService`.
PathfindingService	Instance	Used to find logical paths between two points.
PermissionsService	Instance	
PhysicsService	Instance	
PhysicsSettings	Instance	
PitchShiftSoundEffect	SoundEffect	Adjusts the pitch of a sound without changing its playback speed.
PlacesService	Instance	
Plane	PlaneConstraint	Constrains Attachment0 and Attachment1 such that both points lie in a plane with origin at Attachment0's position and unit normal vector equal to Attachment0's primary axis.
PlaneConstraint	Constraint	Moves its attachments into a position/orientation along a plane whose normal vector is the primary axis of `Class.Constraint.Attachment0|Attachment0`.
Platform	Part	Historically a form of `Class.Seat` that wouldn't place the player in a sitting pose. This object is no longer create-able and cannot be used by developers.
Player	Instance	An object that represents a presently connected client to the experience.
PlayerGui	BasePlayerGui	A container that holds a player's UI.
PlayerListConfiguration	BaseCoreGuiConfiguration	
PlayerMouse	Mouse	The PlayerMouse behaves identically to the `Class.Mouse` object that is obtained using `Class.Tool.Equipped`. Both PlayerMouse and `Class.Mouse` are legacy APIs, superseded by `Class.UserInputService`.
Players	Instance	A service that contains presently connected `Class.Player` objects.
PlayerScripts	Instance	A container for client-side scripts to be run inside `Class.Player` objects within the `Class.Players` service.
PlayerViewService	Instance	Provides a way to get additional information about a player's view.
Plugin	Instance	
PluginAction	Instance	
PluginCapabilities	Instance	
PluginConnection	Object	Encapsulates a connection between the current data model and another for plugin communication.
PluginConnectionService	Instance	This service is used by plugins to communicate with other instances of themselves running in other data models.
PluginDebugService	Instance	
PluginDragEvent	Instance	
PluginGui	LayerCollector	
PluginGuiService	Instance	A service that stores `Class.PluginGui` objects to be displayed in Roblox Studio.
PluginManagementService	Instance	
PluginManager	Instance	
PluginManagerInterface	Instance	
PluginMenu	Instance	A context menu that can be shown in Studio. Displays a list of `Class.PluginAction|PluginActions` and supports submenus.
PluginMouse	Mouse	The PluginMouse object gives `Class.Plugin|Plugins` access to the mouse. It works like the `Class.Mouse` object and can be obtained using the plugin `Class.Plugin:GetMouse()` method.
PluginToolbar	Instance	
PluginToolbarButton	Instance	
PointLight	Light	A light source that emits illumination from a single point.
PointsService	Instance	This service controls the points award system used to showcase a player's achievements and participation throughout Roblox.
PolicyService	Instance	Helps you query information regarding policy compliance for players around the world based on age range, location, and platform type.
Pose	PoseBase	Holds the `Datatype.CFrame` applied to the `Class.Motor6D` connected to its associated `Class.BasePart`. The part which is controlled depends on the name of the Pose.
PoseBase	Instance	Base class of all 'Pose Instance' objects.
PostEffect	Instance	Abstract base class for post-processing effects.
PrismaticConstraint	SlidingBallConstraint	Constraint which creates a rigid joint between two `Class.Attachment|Attachments`, allowing them to slide along one axis but not rotate.
ProceduralModel	Model	Procedural models support edit-time procedural generation. Instead of manually constructing model content, a procedural model generates its contents automatically in response to parameter changes.
ProcessInstancePhysicsService	Instance	
ProximityPrompt	Instance	An object that lets you prompt players to interact with an object in the 3D world.
ProximityPromptService	Instance	Allows developers to interact with `Class.ProximityPrompt` objects in a global way.
PublishService	Instance	
PVAdornment	GuiBase3d	An abstract class of which the inheritors can be adorned to objects of the `Class.PVInstance` class.
PVInstance	Instance	Abstract class for all objects that have a physical location in the world.
PyramidHandleAdornment	HandleAdornment	A pyramid-shaped handle that can be adorned to a `Class.BasePart`.
QWidgetPluginGui	PluginGui	
RayValue	ValueBase	A container object for a single Ray.
RecommendationPages	Pages	A special version of the `Class.Pages` class returned by `Class.RecommendationService.GenerateItemListAsync|GenerateItemListAsync`.
RecommendationService	Instance	A service that provides an interface for you to manage and display personalized content recommendations.
ReflectionMetadata	Instance	A currently unused object whose functionality was split into `Class.ReflectionMetadataClasses` and `Class.ReflectionMetadataEnums`.
ReflectionMetadataCallbacks	Instance	Acts as a `Class.Folder` containing information about callbacks for a `Class.ReflectionMetadataClass`, and should be parented to it. `Class.ReflectionMetadataMember|ReflectionMetadataMembers` that are parented to this object will be perceived as callbacks under the class this is parented to.
ReflectionMetadataClass	ReflectionMetadataItem	Registers information about a class, and its members. Should be parented to `Class.ReflectionMetadataClasses`.
ReflectionMetadataClasses	Instance	An internal object which cannot be used by developers.
ReflectionMetadataEnum	ReflectionMetadataItem	Registers information about an `Datatype.Enum` and its EnumItems.
ReflectionMetadataEnumItem	ReflectionMetadataItem	Contains information about a specific EnumItem embedded within an Enum.
ReflectionMetadataEnums	Instance	Acts as a `Class.Folder` for `Class.ReflectionMetadataEnum` objects.
ReflectionMetadataEvents	Instance	Acts as a `Class.Folder` containing information about events for a `Class.ReflectionMetadataClass`, and should be parented to it. `Class.ReflectionMetadataMember|ReflectionMetadataMembers` that are parented to this object will be perceived as events under the class this is parented to.
ReflectionMetadataFunctions	Instance	Acts as a `Class.Folder` containing information about functions for a `Class.ReflectionMetadataClass`, and should be parented to it. `Class.ReflectionMetadataMember|ReflectionMetadataMembers` that are parented to this object will be perceived as functions under the class this is parented to.
ReflectionMetadataItem	Instance	Acts as abstract properties for generic information about Classes, Members, Enums, and EnumItems.
ReflectionMetadataMember	ReflectionMetadataItem	An internal object which cannot be used by developers.
ReflectionMetadataProperties	Instance	Acts as a `Class.Folder` containing information about properties for a `Class.ReflectionMetadataClass`, and should be parented to it. `Class.ReflectionMetadataMember|ReflectionMetadataMembers` that are parented to this object will be perceived as properties under the class this is parented to.
ReflectionMetadataYieldFunctions	Instance	Acts as a `Class.Folder` containing information about yielding functions for a `Class.ReflectionMetadataClass`, and should be parented to it. `Class.ReflectionMetadataMember|ReflectionMetadataMembers` that are parented to this object will be perceived as yielding functions under the class this is parented to.
ReflectionService	Instance	
RemoteCommandService	Instance	
RemoteDebuggerServer	Instance	
RemoteEvent	BaseRemoteEvent	An object which facilitates asynchronous, one-way communication across the client-server boundary. Scripts firing a `Class.RemoteEvent` do not yield.
RemoteFunction	Instance	An object which facilitates synchronous, two-way communication across the client-server boundary. Scripts invoking a `Class.RemoteFunction` yield until they receive a response from the recipient.
RenderingTest	Instance	An internal testing utility for the rendering pipeline.
RenderSettings	Instance	
ReplicatedFirst	Instance	A container whose contents are replicated to all clients (but not back to the server) first before anything else.
ReplicatedStorage	Instance	A container service for objects that are replicated to all clients.
ReverbSoundEffect	SoundEffect	Reverberates audio, simulating the effect of bouncing off walls in a room.
RigidConstraint	Constraint	Creates a rigid connection between two `Class.Attachment|Attachments` or `Class.Bone|Bones`.
RocketPropulsion	BodyMover	Applies a force so that an assembly follows and faces a target part.
RodConstraint	Constraint	Keeps two attachments separated by its defined `Class.RodConstraint.Length|Length`.
RopeConstraint	Constraint	Simulates rope dynamics, preventing two attachments from separating further than a defined length.
Rotate	JointInstance	
RotateP	DynamicRotate	
RotateV	DynamicRotate	
RotationCurve	Instance	Represents a sequence of rotations and the interpolation curve between them.
RunningAverageItemDouble	StatsItem	Measures the runtime average of a **double** value.
RunningAverageItemInt	StatsItem	Measures the runtime average of an **integer** value.
RunningAverageTimeIntervalItem	StatsItem	Measures the runtime average of a time interval value.
RunService	Instance	Service responsible for all runtime activity and progression of time.
SceneAnalysisService	Instance	
ScreenGui	LayerCollector	Primary container of on-screen 2D user interface elements.
ScreenshotCapture	Capture	A child class of `Class.Capture` for screenshots.
ScreenshotHud	Instance	A 2D user interface that allows users to capture and save screenshots to their local device.
Script	BaseScript	An object that contains and runs Luau code on the server.
ScriptBuilder	Instance	
ScriptContext	Instance	
ScriptDocument	Instance	
ScriptEditorService	Instance	This service is used for interacting with `Class.ScriptDocument` instances.
ScriptProfilerService	Instance	
ScriptService	Instance	An unimplemented service that has zero functionality, in a similar manner to the `LocalWorkspace` service.
ScrollingFrame	GuiObject	`ScrollingFrame` is a special `Class.Frame` type with built-in scrolling interactivity and different ways to customize how the scrolling works.
Seat	Part	A type of `Class.BasePart` that characters can 'sit' in. When a character touches an enabled Seat object, it will be attached to the part by a `Class.Weld` and the default character scripts will play a sitting animation.
Selection	Instance	The Selection service controls the `Class.Instance|Instances` that are selected in Roblox Studio.
SelectionBox	InstanceAdornment	Renders a 3D box around its `Class.PVAdornment.Adornee|Adornee`.
SelectionHighlightManager	Instance	
SelectionLasso	GuiBase3d	Abstract class for `Class.SelectionPartLasso` and `Class.SelectionPartLasso`.
SelectionPartLasso	SelectionLasso	An instance used to display a "lasso" between a `Class.Humanoid` Torso and a `Class.BasePart`.
SelectionPointLasso	SelectionLasso	
SelectionSphere	PVAdornment	Renders a 3D sphere around its `Class.PVAdornment.Adornee|Adornee`.
SelfViewConfiguration	BaseCoreGuiConfiguration	
SensorBase	Instance	An abstract class for various sensor instance types.
SerializationService	Instance	
ServerReplicator	NetworkReplicator	
ServerScriptService	Instance	A container service for server-only `Class.Script` objects.
ServerStorage	Instance	A container whose contents are only accessible on the server. Objects descending from ServerStorage will not replicate to the client and will not be accessible from `Class.LocalScript|LocalScripts`.
ServiceProvider	Instance	A ServiceProvider is an abstract class, which stores, and provides certain singleton classes, depending on what inherited class you are using its members with.
ServiceVisibilityService	Instance	
SessionCheckService	Instance	
SharedTableRegistry	Instance	Provides a global registry of named `Datatype.SharedTable` objects.
Shirt	Clothing	Displays a shirt texture on a `Class.Humanoid` rig.
ShirtGraphic	CharacterAppearance	Applies a texture to the front surface of a character's torso, used to display t-shirts.
SkateboardController	Controller	
SkateboardPlatform	Part	A SkateboardPlatform can be used to create a skateboard. When characters get on a skateboard, they are stuck to it until they press the escape key. Until then, the character uses skateboard animations and travels faster than a walking character.
Skin	CharacterAppearance	Historically changed the colors of body parts to match the `Class.Skin.SkinColor` property. Superseded by the `Class.BodyColors` class.
Sky	Instance	Changes the default appearance of the experience's sky.
SlidingBallConstraint	Constraint	The base class for constraints that allow their attachments to slide along an axis but not rotate.
SlimContentProvider	CacheableContentProvider	
Smoke	Instance	A particle emitter with the visual aesthetic of smoke.
SmoothVoxelsUpgraderService	Instance	
Snap	JointInstance	Holds two parts together and functions identically to `Class.Weld`.
SocialService	Instance	Facilitates social functions that impact relationships made on the Roblox platform.
SolidModelContentProvider	CacheableContentProvider	An internal service which serves no functionality to developers.
Sound	Instance	An object that emits sound. This object can be placed within a `Class.BasePart` or `Class.Attachment` to emit a sound from a particular position within a place or world, or it can be attached elsewhere to play the sound at a constant volume throughout the entire place.
SoundEffect	Instance	SoundEffect is the base class that all other sound effects derive from. A SoundEffect can be applied to either a `Class.Sound` or `Class.SoundGroup` by being parented to either.
SoundGroup	Instance	A `Class.SoundGroup` is used to manage the volume and sound effects on multiple `Class.Sound|Sounds` at once. `Class.Sound|Sounds` in the SoundGroup will have their volume and effects adjusted by the SoundGroup.
SoundService	Instance	A service that determines various aspects of how the audio engine works. Most of its properties affect how `Class.Sound|Sounds` play in the experience.
Sparkles	Instance	A particle emitter with the visual aesthetic of sparkles.
SpawnerService	Instance	An internal service that is responsible for the behavior of `Class.SpawnLocation|SpawnLocations`. Its functionality is not accessible to developers.
SpawnLocation	Part	`Class.SpawnLocation|SpawnLocations`, or "spawns" determine where a `Class.Player` respawns when they die. They can be configured to allow only certain players to use each spawn, using `Class.Team|Teams`. They also control how `Class.ForceField|ForceFields` are set up for newly-spawned players.
SpecialMesh	FileMesh	The `Class.SpecialMesh` object applies a mesh to a `Class.BasePart` depending on the `Class.SpecialMesh.MeshType|MeshType` property.
SphereHandleAdornment	HandleAdornment	A sphere-shaped handle that can be adorned to a `Class.BasePart`.
SpotLight	Light	A light source that emits light directionally in the shape of a cone with a spherical base.
SpringConstraint	Constraint	Simulates spring and damper behavior between two attachments.
StandalonePluginScripts	Instance	
StandardPages	Pages	
StarterCharacterScripts	StarterPlayerScripts	Stores instances to be parented to a player's character when it spawns.
StarterGear	Instance	If the game allows gear, `StarterGear` is a container automatically inserted into each `Class.Player` object when the player joins the game. Whenever the player's character spawns, the contents of that player's `StarterGear` are copied into the player's `Class.Backpack`.
StarterGui	BasePlayerGui	A container for `Class.LayerCollector` objects to be copied into the `Class.PlayerGui` of `Class.Player|Players`. Also provides a range of functions for interacting with the `Class.CoreGui`.
StarterPack	Instance	A container whose contents are copied into each player's `Class.Backpack` when their player character spawns. It is generally used to hold `Class.Tool|Tools`.
StarterPlayer	Instance	A service which allows the defaults of properties in the `Class.Player` object to be set.
StarterPlayerScripts	Instance	A container for objects to be copied to a Player's PlayerScripts when they join a game.
StartupMessageService	Instance	
Stats	Instance	Performance metrics for a game.
StatsItem	Instance	A single performance metric.
Status	Model	An unfinished object which offers no functionality to developers.
StopWatchReporter	Instance	
StringValue	ValueBase	A container object for a single string.
Studio	Instance	
StudioCaptureService	Instance	
StudioDeviceSimulatorService	Instance	Service allowing you to control Studio's Device Simulator.
StudioScreenshotCapture	Instance	
StudioService	Instance	Provides access to configuration of Roblox Studio and allows importing files from the user's file system.
StudioTestService	Instance	Service allowing plugins to automate and customize Test and Run mode testing.
StudioTheme	Instance	
StyleBase	Instance	The base class for `Class.StyleSheet` and `Class.StyleRule`.
StyleDerive	Instance	When parented to a `Class.StyleSheet`, references another `Class.StyleSheet` from which the parent inherits `Class.StyleRule|StyleRules` and token definitions.
StyleLink	Instance	Links a `Class.StyleSheet` to the instance tree whose root is the parent of the `StyleLink`.
StyleQuery	Instance	Instance used to set conditions such as `"MaxSize"` and `"PreferredInput"` for a `Class.StyleRule`.
StyleRule	StyleBase	Defines style properties which override properties on the instances affected by the `Class.StyleRule.Selector|Selector` property.
StyleSheet	StyleBase	Aggregates `Class.StyleRule|StyleRules` and can be linked to `Class.DataModel` trees to apply style properties to instances.
SunRaysEffect	PostEffect	Renders dynamic rays from the sun.
SurfaceAppearance	Instance	An object that allows developers to override the appearance of a MeshPart with advanced graphics options.
SurfaceGui	SurfaceGuiBase	Container for GuiObjects that are rendered on the surface of a part.
SurfaceGuiBase	LayerCollector	
SurfaceLight	Light	A light source that emits illumination of a specified color and brightness from a face for a specified range.
SurfaceSelection	PartAdornment	Highlights a face of a surface in a configurable color.
SwimController	ControllerBase	
SyncScriptBuilder	ScriptBuilder	
TaskScheduler	Instance	Collection of settings for the _Task Scheduler_ feature.
Team	Instance	The `Class.Team` class represents a faction in a Roblox place. The only valid parent for a Team is in the `Class.Teams` service.
TeamCreateData	Instance	
TeamCreateService	Instance	
Teams	Instance	The Teams service holds a game's `Class.Team` objects. `Class.Team` objects must be parented to the Teams service.
TeleportAsyncResult	Instance	The return structure of the `TeleportAsync` function call.
TeleportOptions	Instance	Optional input arguments to the `Class.TeleportService:TeleportAsync()` function.
TeleportService	Instance	Enables transporting `Class.Player|Players` between places and servers. For more information on how to teleport players between servers, see [Teleport between places](../../../projects/teleport.md).
Terrain	BasePart	`Terrain` lets you to create dynamically morphable environments.
TerrainDetail	Instance	Determines appearance of a certain terrain face direction.
TerrainRegion	Instance	
TestService	Instance	A service used by Roblox to run controlled tests of the engine. It is available for developers to use, to a limited degree.
TextBox	GuiObject	A 2D user interface element that displays player-editable text.
TextBoxService	Instance	
TextButton	GuiButton	A 2D user interface element that displays interactive text.
TextChannel	Instance	Represents a text chat channel.
TextChatCommand	Instance	Represents a text chat command.
TextChatConfigurations	Instance	The parental class of all text chat configurations.
TextChatMessage	Instance	A data object representing a text chat message.
TextChatMessageProperties	Instance	Overrides `Class.TextChatMessage` properties when returned by callbacks defined in `Class.TextChatService.OnIncomingMessage` or `Class.TextChannel.OnIncomingMessage`.
TextChatService	Instance	A service handling in-experience text chat.
TextFilterResult	Instance	
TextFilterTranslatedResult	Instance	
TextGenerator	Instance	Gives access to a large language model for text generation.
TextLabel	GuiLabel	A 2D user interface element that displays non-interactive text.
TextService	Instance	Service internally responsible for handling the display of text.
TextSource	Instance	Represents a speaker in a `Class.TextChannel`.
Texture	Decal	Applies a repeating image texture to the face of a parent `Class.BasePart`.
TimerService	Instance	An internal service responsible for scheduling timed events. It is used by the `Class.Debris` class. Its functionality can not be accessed by developers.
Tool	BackpackItem	An object, such as a weapon, that can be equipped by a `Class.Humanoid`.
Torque	Constraint	Applies constant torque to an assembly from its center of mass.
TorsionSpringConstraint	Constraint	A rotational spring that opposes the angular motion between two axes.
TotalCountTimeIntervalItem	StatsItem	Measures a total-count-over-time interval.
TouchInputService	Instance	An internal service responsible for touch inputs on mobile devices.
TouchTransmitter	Instance	An internal object used by networking and replication code to transmit `Class.BasePart.Touched` and `Class.BasePart.TouchEnded` events.
Trail	Instance	Used to create a trail effect between two attachments.
Translator	Instance	The role of a Translator is to manufacture/return strings localized for the viewing player.
TremoloSoundEffect	SoundEffect	Creates a trembling effect on a sound by varying the volume of the sound up and down.
TriangleMeshPart	BasePart	Abstract intermediate class that manages physical geometry properties for PartOperations and MeshParts.
TrussPart	BasePart	Similar to a `Class.Part` but with a different visual `Class.TrussPart.Style|Style` and the important distinction that default characters are able to climb it.
Tween	TweenBase	The `Class.Tween` object controls the playback of an interpolation.
TweenBase	Instance	Abstract base class for in-between interpolation handlers. `Class.Tween` inherits from `Class.TweenBase`.
TweenService	Instance	Used to create `Class.Tween|Tweens` which interpolate, or tween, the properties of instances.
UGCValidationService	Instance	
UIAspectRatioConstraint	UIConstraint	Ensures the parent UI element maintains a particular aspect ratio.
UIBase	Instance	`Class.UIBase` is the base class for UI layout and constraint classes.
UIComponent	UIBase	A base class for UI constraint and layout classes.
UIConstraint	UIComponent	The base class for UI constraint classes.
UICorner	UIComponent	UI modifier which applies deformation to corners of its parent `Class.GuiObject`.
UIDragDetector	UIComponent	Instance which facilitates and encourages interaction with UI elements in an experience.
UIFlexItem	UIComponent	Defines flex behavior for a `Class.GuiObject` within a `Class.UIListLayout`.
UIGradient	UIComponent	Applies a color and transparency gradient to the UI elements rendered by the parent `Class.GuiObject`.
UIGridLayout	UIGridStyleLayout	Positions sibling UI elements by filling rows using the space of the parent UI element.
UIGridStyleLayout	UILayout	The base class for grid style UI layouts.
UILayout	UIComponent	The base class for UI layout classes.
UIListLayout	UIGridStyleLayout	Positions sibling UI elements in rows or columns within the parent UI container.
UIPadding	UIComponent	Applies padding to the borders of the parent `Class.GuiObject`.
UIPageLayout	UIGridStyleLayout	
UIScale	UIComponent	An object that acts as a multiplier for the size of the parent UI element's scale.
UIShadow	UIComponent	Renders a shadow below the parent UI instance.
UISizeConstraint	UIConstraint	Ensures a `Class.GuiObject` does not become larger or smaller than the constraint's maximum size or minimum size.
UIStroke	UIComponent	Applies an outline to text or a UI border.
UITableLayout	UIGridStyleLayout	Lays out sibling UI elements and their child UI elements as rows/columns and cells in a table.
UITextSizeConstraint	UIConstraint	Ensures that the size of text rendered by certain `Class.GuiObject` classes lies within the range described by `Class.UITextSizeConstraint.MaxTextSize|MaxTextSize` and `Class.UITextSizeConstraint.MinTextSize|MinTextSize`.
UnionOperation	PartOperation	Result of parts that have been joined together into a single solid model.
UniqueIdLookupService	Instance	
UniversalConstraint	Constraint	Ensures two axes on two bodies remain perpendicular.
UnreliableRemoteEvent	BaseRemoteEvent	An object which facilitates asynchronous, unordered and unreliable, one-way communication across the client-server boundary. Scripts firing a `Class.UnreliableRemoteEvent` do not yield.
UserGameSettings	Instance	The UserGameSettings is a singleton class found inside of the `Class.UserSettings` singleton. It holds various persistent settings relating to how the user wants to control their camera, and their character.
UserInputService	Instance	`UserInputService` is primarily used to detect the input types available on a user's device, as well as detect input events.
UserService	Instance	A service that handles queries regarding users on the Roblox platform.
UserSettings	GenericSettings	A singleton object that houses basic user settings, which persist across all games on Roblox.
ValueBase	Instance	Base class of all "value instance" objects.
ValueCurve	Instance	A sorted list of time-value pairs that define a curve. Used to animate a any type of value.
Vector3Curve	Instance	Represents a 3D vector curve, grouping three `Class.FloatCurve` instances.
Vector3Value	ValueBase	A container object for a single Vector3 value.
VectorForce	Constraint	Applies constant force to an assembly.
VehicleController	Controller	
VehicleSeat	BasePart	A seat object that can be used to control a vehicle.
VelocityMotor	JointInstance	
VideoCapture	Capture	A child class of `Class.Capture` for videos.
VideoCaptureService	Instance	
VideoDisplay	GuiObject	A GUI object that displays video content from a connected `Class.VideoPlayer`.
VideoFrame	GuiObject	A GUI object that renders a rectangle, like a `Class.Frame` does, with a moving video image.
VideoPlayer	Instance	Used to play video assets.
VideoSampler	Object	An object for sampling frames from video content.
VideoService	Instance	An internal service that offers no functionality to developers.
ViewportFrame	GuiObject	`Class.GuiObject` that renders 3D objects inside its bounds.
VirtualInput	Object	Simulates mouse, keyboard, and pointer input as if it were performed by a real player.
VirtualInputManager	Instance	An internal service that offers no functionality to developers.
VirtualUser	Instance	VirtualUser is a service that allows you to record the inputs of a user, and then play it back to a limited extent.
VisibilityCheckDispatcher	Instance	
Visit	Instance	The Visit service is a backend service used by Roblox. Its functions are not accessible to developers in any form.
VisualizationMode	Instance	
VisualizationModeCategory	Instance	
VisualizationModeService	Instance	
VoiceChatService	Instance	**VoiceChatService** is responsible for voice chat's high-level functionality.
VRService	Instance	Service responsible for handling interactions between Roblox and Virtual Reality (VR).
VRStatusService	Instance	
WebStreamClient	Object	Maintains a streaming connection.
WedgePart	FormFactorPart	A type of `Class.BasePart` that has a wedge shape.
Weld	JointInstance	
WeldConstraint	Instance	Connects two `Class.BasePart|BaseParts` together such that their relative position and orientation remain the same.
Wire	Instance	Connects one or more `Class.Instance|Instances` to form a processing graph of their streams. At the moment, only audio streams are supported, but this may expand in the future.
WireframeHandleAdornment	HandleAdornment	Renders a wireframe adornment consisting of one or more lines onto a `Class.BasePart` (including `Class.Terrain`) or into the `Class.Workspace`.
Workspace	WorldRoot	**Workspace** houses 3D objects which are rendered to the 3D world. Objects not descending from it will not be rendered or physically interact with the world.
WorkspaceAnnotation	Annotation	
WorldModel	WorldRoot	Extends limited physics for its children on to a parent `Class.ViewportFrame`.
WorldRoot	Model	Base class for handling physics simulation and 3D spatial queries.
WrapDeformer	BaseWrap	Allows for the real-time deformation of a `Class.MeshPart`.
WrapLayer	BaseWrap	The WrapLayer object defines a 3D accessory's inner and outer surfaces and other properties related to layering accessories. These surfaces, or the Inner Cage and Outer Cage, are similar to collision boxes, and describe the surfaces of which other 3D accessories can be placed without clipping or breaking.
WrapTarget	BaseWrap	The WrapTarget object defines a target. A target is the 3D body with only an outer surface, or an Outer Cage.
WrapTextureTransfer	Instance	`Class.WrapTextureTransfer` allows a parent `Class.Decal` to be wrapped around its parent `Class.MeshPart` based on the cage of its `Class.WrapTarget`.
